grain_id,phi1,Phi,phi2,x,y,area,diameter,misorientation_cube_deg,misorientation_goss_deg,misorientation_rotated_cube_deg,misorientation_rotated_goss_deg,misorientation_alpha_deg,misorientation_gamma_deg,misorientation_eta_deg,misorientation_lambda_deg,is_relevant,nearest_component,angle_to_nearest_component_deg
27,86.04,3.587,285.7,1218.52,15.284,1521.0,44.01,12.2739,45.9634,33.4474,43.0098,33.3891,52.0663,12.2585,3.587,True,cube,12.27
28,211.294,9.046,162.92,1270.29,17.924,2493.0,56.34,16.8359,39.4053,32.0566,44.2724,30.689,45.9816,14.6502,9.046,True,Other/Random,16.84
29,119.308,18.339,238.99,1342.58,17.028,2529.0,56.75,18.4171,39.0106,46.8492,30.5377,29.4669,37.3113,15.9293,18.339,False,Other/Random,18.42
30,346.685,2.52,22.82,1406.45,10.461,1035.0,36.3,9.8326,43.6016,35.5815,45.2357,35.5265,52.6025,9.5349,2.52,True,cube,9.83
31,160.304,14.271,216.04,1457.41,12.441,1593.0,45.04,21.6657,36.5953,31.9462,43.2439,30.5596,42.141,17.5469,14.271,True,Other/Random,21.67
32,173.101,20.209,199.63,1505.69,9.809,1035.0,36.3,23.8495,28.4723,37.9317,46.3384,33.9755,40.2028,13.3615,20.209,True,Other/Random,23.85
33,135.144,20.458,199.37,1548.5,59.991,8613.0,104.72,32.575,38.4051,28.2004,45.2844,19.505,34.2777,27.385,20.458,False,Other/Random,28.2
34,346.747,31.952,39.75,1574.9,2.4,270.0,18.54,41.2876,33.0008,36.8016,48.5572,30.0118,30.9826,29.2205,31.952,False,Other/Random,33.0
35,223.192,15.223,105.34,1634.83,8.134,1278.0,40.34,34.8728,49.6512,20.3415,44.7109,20.2125,39.5222,33.9248,15.223,False,Other/Random,20.34
36,65.957,45.252,320.62,1695.6,38.876,5877.0,86.5,52.1234,46.3751,48.6754,37.4735,28.1668,18.5632,43.7121,45.252,False,Other/Random,37.47
37,39.562,11.416,298.69,1738.65,13.784,999.0,35.66,24.5302,44.0456,25.8686,42.4601,25.644,43.3803,23.398,11.416,True,Other/Random,24.53
38,327.721,47.633,38.32,1778.07,8.546,1071.0,36.93,47.9924,28.0689,60.8079,42.0811,18.0548,12.1721,27.5687,47.633,True,Other/Random,28.07
39,169.444,17.122,209.68,1833.2,10.442,693.0,29.7,25.6156,34.7449,30.9471,46.0053,28.1588,41.4096,19.8151,17.122,False,Other/Random,25.62
40,140.005,48.791,219.76,1860.63,7.742,558.0,26.65,48.7915,31.4013,58.1024,38.9694,18.53,7.1239,30.7127,48.791,True,Other/Random,31.4
41,343.02,4.491,351.53,1892.31,10.121,819.0,32.29,25.8368,47.461,20.0543,51.2595,19.5863,50.8009,25.4324,4.491,True,Other/Random,20.05
42,243.067,20.292,96.81,1930.2,1.8,225.0,16.93,28.5035,47.5856,32.002,32.5382,29.7047,35.8335,27.8694,20.292,False,Other/Random,28.5
43,173.021,23.066,202.5,1954.41,20.51,2313.0,54.27,27.743,27.6988,37.2724,47.1889,32.174,38.4452,16.298,23.066,False,Other/Random,27.7
44,171.007,25.33,191.08,2011.84,17.387,2115.0,51.89,25.4144,20.6095,49.5254,47.3399,40.2942,36.4451,4.8302,25.33,True,Other/Random,20.61
45,319.547,52.106,41.03,2062.3,19.206,1836.0,48.35,52.109,33.5933,56.5644,40.0022,16.826,4.4988,33.3186,52.106,True,Other/Random,33.59
46,28.805,53.045,313.69,2121.96,24.234,3582.0,67.53,55.6593,35.4637,54.7097,45.7991,10.0375,13.1763,35.4381,45.5545,True,Other/Random,35.46
47,263.094,33.045,75.22,2121.0,0.0,45.0,7.57,39.3588,57.3419,40.2532,23.8092,23.0604,33.4509,39.2899,33.045,False,Other/Random,23.81
48,190.624,22.278,150.68,2153.4,0.6,45.0,7.57,29.0074,30.875,34.343,46.2388,29.97,37.8398,19.8654,22.278,False,Other/Random,29.01
49,195.528,25.49,138.17,2180.64,7.598,828.0,32.47,36.4698,35.816,31.5208,46.7293,27.0381,34.2018,28.467,25.49,False,Other/Random,31.52
50,155.195,33.15,180.83,2301.31,25.833,6363.0,90.01,40.713,26.8732,39.0966,54.1533,20.8946,25.5219,24.1141,33.15,False,Other/Random,26.87
51,178.768,30.673,162.43,2362.73,5.55,360.0,21.41,35.8587,23.4124,40.1328,53.394,29.7662,37.1206,18.6399,30.673,False,Other/Random,23.41
52,331.094,10.353,50.14,2391.31,38.84,5400.0,82.92,23.5974,42.8197,25.8933,44.2597,25.4192,44.8517,22.17,10.353,True,Other/Random,23.6
53,315.861,31.1,56.87,2433.0,6.769,351.0,21.14,33.5453,36.4543,44.5272,30.9526,20.5578,23.6424,26.926,31.1,False,Other/Random,30.95
54,318.607,57.096,44.03,2459.49,22.718,2169.0,52.55,57.1517,37.9309,55.2607,41.4184,13.94,3.8068,37.9056,50.9611,True,Other/Random,37.93
55,191.311,45.548,138.12,2521.85,21.818,3267.0,64.5,54.3978,34.8219,47.6632,46.1955,23.3576,27.2161,34.7368,45.548,False,Other/Random,34.82
56,154.443,50.36,220.42,2559.0,0.0,27.0,5.86,52.37,30.129,58.1796,46.8114,15.2255,16.0068,30.0861,45.9949,False,Other/Random,30.13
57,311.881,53.417,39.73,2585.43,42.137,4329.0,74.24,54.0239,37.4831,52.8426,39.0788,22.1024,2.849,37.1519,53.2835,True,Other/Random,37.48
58,169.572,28.343,174.09,2612.66,8.614,1188.0,38.89,32.631,22.7879,40.0992,54.1611,29.4878,34.1757,15.8766,28.343,False,Other/Random,22.79
59,183.141,34.877,153.54,2655.0,1.5,72.0,9.57,41.7521,26.133,40.888,53.6151,29.5823,34.7769,23.9458,34.877,False,Other/Random,26.13
60,174.775,29.782,159.07,2669.18,1.364,99.0,11.23,39.4402,29.4683,35.1291,55.955,23.6218,35.6307,25.5908,29.782,False,Other/Random,29.47
61,197.997,14.428,130.79,2727.22,24.414,3519.0,66.94,34.3109,45.3224,19.9309,49.163,18.2108,42.2342,32.0193,14.428,True,Other/Random,19.93
62,147.458,39.227,241.42,2777.62,15.994,1575.0,44.78,48.3707,42.9979,42.2898,40.9896,20.5137,17.9301,39.718,39.227,False,Other/Random,40.99
63,217.714,24.243,123.88,2805.33,2.333,81.0,10.16,30.355,37.6377,35.8377,36.263,28.3203,30.7969,25.3035,24.243,False,Other/Random,30.35
64,239.556,8.714,104.24,2817.81,22.309,1341.0,41.32,18.3847,45.2429,30.0589,40.2631,30.0589,46.3369,18.0792,8.714,True,Other/Random,18.38
65,78.204,8.419,285.4,2841.4,7.8,405.0,22.71,9.1567,43.8922,42.2066,37.0322,37.0292,47.8438,8.9397,8.419,True,cube,9.16
66,95.49,17.898,263.73,2868.34,5.321,477.0,24.64,17.9148,46.5234,47.5359,27.265,27.2281,42.012,17.82,17.898,False,Other/Random,17.91
67,230.583,18.978,110.53,2898.27,3.0,198.0,15.88,26.7135,43.003,32.1836,35.0674,31.0655,35.8809,24.9287,18.978,False,Other/Random,26.71
68,241.098,8.638,95.04,2913.0,6.692,117.0,12.21,25.356,49.0538,22.8163,43.4662,22.8007,46.4788,25.2264,8.638,True,Other/Random,22.82
69,237.927,16.616,99.18,2945.4,20.52,2871.0,60.46,28.2222,47.4519,27.593,37.2058,27.5875,38.6655,27.5878,16.616,False,Other/Random,27.59
70,197.409,14.839,143.14,2996.38,5.491,477.0,24.64,24.4216,37.4908,29.4836,44.5075,27.8117,41.9762,20.456,14.839,True,Other/Random,24.42
71,346.256,8.243,356.94,3028.75,25.48,4122.0,72.45,18.7038,40.2365,29.3528,47.8263,28.2307,47.8204,16.778,8.243,True,Other/Random,18.7
72,311.476,18.108,62.28,3087.3,3.6,90.0,10.7,22.7057,39.8979,35.9987,34.363,30.8906,36.6737,20.2041,18.108,False,Other/Random,22.71
73,211.529,4.096,135.66,3100.82,24.139,2520.0,56.64,13.4473,43.6537,32.4417,44.3811,32.3752,50.7584,13.05,4.096,True,cube,13.45
74,114.857,4.337,230.74,3162.13,5.125,648.0,28.72,15.0385,45.0774,30.8956,43.6859,30.6828,50.6789,14.8593,4.337,True,Other/Random,15.04
75,6.673,39.022,4.95,3213.23,9.0,1062.0,36.77,40.6515,12.4016,50.9225,59.4826,34.6006,31.5882,10.9687,39.022,True,goss,12.4
76,40.256,49.812,313.32,3253.77,5.353,459.0,24.17,50.1983,35.0425,57.3587,37.292,12.1088,6.1882,34.212,49.812,True,Other/Random,35.04
77,232.999,46.704,117.13,3308.5,31.196,3996.0,71.33,47.6785,44.4862,52.9049,26.3878,4.6317,10.1306,40.3721,46.704,True,Other/Random,26.39
78,352.624,30.798,4.61,3382.41,14.475,2367.0,54.9,30.919,14.9384,51.8525,51.4039,41.6408,34.2035,4.1485,30.798,True,goss,14.94
79,192.754,10.036,167.77,3435.79,23.191,1836.0,48.35,10.0496,35.2687,45.5382,43.882,42.8889,46.4602,2.2301,10.036,True,cube,10.05
80,129.776,16.449,249.36,3453.43,0.857,63.0,8.96,25.184,43.3786,30.5761,36.7668,30.4931,38.3753,23.7506,16.449,False,Other/Random,25.18
81,206.469,8.482,141.06,3479.12,33.44,2331.0,54.48,15.0727,39.9933,33.5877,42.7579,33.217,46.7468,13.2595,8.482,True,Other/Random,15.07
82,188.793,10.82,147.31,3510.2,31.805,2349.0,54.69,26.1999,42.0007,23.6872,48.2616,22.3034,46.3095,24.1038,10.82,True,Other/Random,23.69
83,307.428,38.033,39.52,3558.73,24.553,3420.0,65.99,40.1317,34.7593,49.2873,33.5023,27.1024,17.556,29.9041,38.033,False,Other/Random,33.5
84,159.745,23.094,223.68,3617.78,34.466,2358.0,54.79,32.781,35.9024,31.5036,44.0898,28.397,34.7206,26.0487,23.094,False,Other/Random,31.5
85,132.937,21.193,253.99,3648.27,12.07,1917.0,49.4,34.1451,46.7892,27.7856,38.3805,27.6628,33.5624,32.436,21.193,False,Other/Random,27.79
86,196.87,17.755,161.02,3742.81,26.846,7533.0,97.94,17.8789,28.6781,46.2592,42.8699,39.3236,39.6974,5.8307,17.755,True,Other/Random,17.88
87,144.007,53.635,216.73,3838.13,10.849,1314.0,40.9,53.6397,31.0433,53.9573,44.1,18.8425,7.3835,31.0357,49.3434,True,Other/Random,31.04
88,168.228,36.66,221.41,3879.51,17.171,1107.0,37.54,46.8194,34.3325,39.6463,51.2343,28.9582,29.432,32.5977,36.66,False,Other/Random,34.33
89,18.689,36.565,318.35,3913.5,0.0,126.0,12.67,42.9668,31.0648,42.498,46.1409,25.6575,25.8761,28.4951,36.565,False,Other/Random,31.06
90,187.956,30.862,187.41,3974.99,12.949,2133.0,52.11,34.3923,20.2655,42.5348,55.9712,30.8849,33.9108,14.8096,30.862,True,Other/Random,20.27
91,7.943,43.785,316.44,4022.14,33.744,2286.0,53.95,55.8835,38.2882,44.7307,46.9749,26.712,29.8091,38.1451,43.785,False,Other/Random,38.29
92,321.841,52.009,46.81,4058.78,19.252,1854.0,48.59,52.6741,35.7551,55.5569,39.4578,10.6098,6.1276,35.3695,51.7066,True,Other/Random,35.76
93,146.386,53.124,219.84,4096.13,23.14,1224.0,39.48,53.4612,31.5656,57.4782,43.91,15.1992,9.3373,31.5407,48.2274,True,Other/Random,31.57
94,189.082,40.105,136.57,4107.75,4.705,396.0,22.45,52.3387,37.5273,41.4391,50.8078,28.4885,29.8233,36.8594,40.105,False,Other/Random,37.53
95,187.481,46.934,136.92,4156.51,25.865,3591.0,67.62,58.2922,38.2884,47.814,43.8439,24.7897,29.847,38.2879,43.5853,False,Other/Random,38.29
96,328.192,13.587,56.59,4197.45,9.278,486.0,24.88,28.2111,43.6028,24.3198,43.8781,23.7032,41.5874,26.4149,13.587,True,Other/Random,24.32
97,329.109,52.605,40.94,4207.07,2.571,126.0,12.67,53.489,31.5327,58.7206,44.8097,13.8428,11.5528,31.51,47.018,True,Other/Random,31.53
98,136.18,55.447,227.22,4225.83,1.667,162.0,14.36,55.5429,39.1524,54.2087,38.3633,12.104,1.201,38.8969,53.5412,True,Other/Random,38.36
99,206.752,40.207,166.95,4273.93,25.392,3123.0,63.06,42.386,19.8225,50.5513,50.0374,29.4035,19.6924,18.6437,40.207,False,Other/Random,19.82
100,117.138,4.773,258.82,4295.57,2.929,378.0,21.94,16.6521,46.3312,29.4233,43.3809,29.4219,50.2072,16.5772,4.773,True,Other/Random,16.65
101,322.866,42.113,44.0,4323.66,6.469,288.0,19.15,42.6439,30.3686,56.2242,36.3681,17.2781,13.909,27.8024,42.113,True,Other/Random,30.37
102,211.097,17.034,165.56,4347.75,0.375,72.0,9.57,23.7816,33.9959,32.9778,44.364,28.0241,38.3533,17.7515,17.034,False,Other/Random,23.78
103,217.957,33.84,117.73,4383.57,9.389,1179.0,38.74,41.46,41.3859,39.5039,36.5633,21.9172,21.44,35.0071,33.84,False,Other/Random,36.56
104,68.882,48.733,308.11,4426.4,31.345,3213.0,63.96,51.4392,47.7406,55.779,28.3229,23.4013,19.6147,45.0512,45.4795,False,Other/Random,28.32
105,54.654,58.369,322.74,4468.9,9.077,1053.0,36.62,60.6863,44.0409,47.3546,42.6736,29.1651,8.8312,43.9928,46.0126,True,Other/Random,42.67
106,325.562,25.249,25.39,4505.1,2.4,90.0,10.7,26.7964,27.5535,43.6914,39.747,35.2126,30.1664,15.3361,25.249,False,Other/Random,26.8
107,118.992,44.426,223.98,4540.63,18.922,1845.0,48.47,47.4229,41.8747,52.1186,32.2508,26.2271,15.9102,38.506,44.426,False,Other/Random,32.25
108,53.177,52.266,316.34,4613.97,17.627,3618.0,67.87,53.0654,40.4163,55.5576,35.4014,21.2786,7.0187,39.4833,50.7225,True,Other/Random,35.4
109,153.015,37.699,231.33,4664.25,1.875,72.0,9.57,44.6351,36.1889,42.8055,42.2657,21.6373,21.3081,33.1628,37.699,False,Other/Random,36.19
110,147.955,48.51,224.75,4679.35,5.27,333.0,20.59,50.0487,32.3733,57.7305,41.6096,13.2088,11.8928,31.849,48.51,True,Other/Random,32.37
111,155.47,50.004,216.34,4730.74,42.489,8001.0,100.93,51.2923,27.0262,59.4203,47.6469,18.0123,16.8445,27.0087,45.8176,False,Other/Random,27.03
112,200.736,34.355,133.79,4781.05,12.683,1701.0,46.54,42.539,34.4213,39.3703,45.178,26.5057,26.2728,30.8855,34.355,False,Other/Random,34.42
113,165.201,43.687,223.72,4888.89,60.102,17770.0,150.4,51.9989,34.6616,46.4158,48.6691,22.792,25.1881,34.2684,43.687,False,Other/Random,34.66
114,157.569,21.993,222.25,4979.75,22.846,3042.0,62.23,29.5236,34.4849,33.3158,42.3647,30.7073,35.1456,22.7651,21.993,False,Other/Random,29.52
115,195.469,5.854,179.33,5055.59,26.614,5247.0,81.74,15.9088,41.757,30.7502,46.8061,30.1976,49.6994,14.8026,5.854,True,Other/Random,15.91
116,345.158,44.761,42.36,5151.82,42.811,7290.0,96.34,52.1702,33.4474,47.8899,47.883,21.9963,24.8974,33.1939,44.761,False,Other/Random,33.45
117,3.685,32.862,326.06,5155.0,4.3,270.0,18.54,44.3839,33.3669,35.935,54.1659,25.8468,35.1418,30.9017,32.862,False,Other/Random,33.37
118,123.856,43.834,243.72,5197.66,11.821,1512.0,43.88,44.4521,44.1168,55.9958,23.6076,6.6238,13.7623,38.3915,43.834,True,Other/Random,23.61
119,194.353,25.214,128.76,5236.27,10.818,594.0,27.5,44.4321,44.5103,26.467,51.5425,22.1691,34.756,38.6107,25.214,False,Other/Random,26.47
120,196.231,30.497,133.93,5264.34,13.649,1179.0,38.74,42.4172,37.3176,33.9774,48.0498,28.6148,30.605,32.9044,30.497,False,Other/Random,33.98
121,216.09,45.269,135.41,5341.77,52.012,14010.0,133.57,46.0188,31.425,57.5416,37.9321,15.1204,11.6549,29.9434,45.269,True,Other/Random,31.43
122,152.541,48.941,217.89,5334.0,0.0,45.0,7.57,49.9733,27.74,59.298,45.2662,17.4162,14.9252,27.589,48.0035,True,Other/Random,27.74
123,219.756,48.325,126.02,5346.0,0.0,27.0,5.86,50.2541,38.6888,53.5198,36.1077,8.0903,7.609,37.2489,48.325,True,Other/Random,36.11
124,220.047,54.533,124.64,5404.41,14.338,1305.0,40.76,56.4831,42.5388,48.3318,38.6766,2.9268,4.0437,42.0733,51.4296,True,Other/Random,38.68
125,27.432,52.812,315.03,5445.62,12.265,1224.0,39.48,55.4488,34.4499,55.7582,45.927,11.1015,14.2808,34.4395,45.0022,True,Other/Random,34.45
126,32.435,25.422,306.68,5493.85,8.977,1152.0,38.3,32.7913,37.1112,34.9029,38.6678,28.9978,30.2815,26.7921,25.422,False,Other/Random,32.79
127,222.581,47.134,134.03,5540.8,25.431,2736.0,59.02,47.2487,34.1186,60.0808,35.1716,14.4157,7.8292,32.5719,47.134,True,Other/Random,34.12
128,145.304,36.686,217.08,5586.33,30.772,2169.0,52.55,36.7607,26.027,55.6682,37.3519,24.0584,19.4519,21.3846,36.686,False,Other/Random,26.03
129,313.934,55.394,42.37,5606.63,2.625,72.0,9.57,55.5074,38.157,53.9553,39.3428,18.271,1.0941,37.9795,53.649,True,Other/Random,38.16
130,312.75,22.67,75.93,5640.71,14.926,1818.0,48.11,36.4097,48.0351,27.8708,38.6033,27.7703,32.0918,34.6861,22.67,False,Other/Random,27.87
131,351.349,22.349,47.81,5688.02,22.552,1809.0,47.99,44.8694,46.3528,23.0903,54.4952,18.198,38.3678,39.9125,22.349,False,Other/Random,23.09
132,336.699,24.894,58.39,5744.29,31.655,3915.0,70.6,42.7948,45.3833,26.7654,47.8312,24.2787,32.5364,38.0976,24.894,False,Other/Random,26.77
133,157.648,36.97,227.26,5746.25,1.25,108.0,11.73,44.3334,34.4225,41.9087,44.7079,23.9428,23.8726,31.6978,36.97,False,Other/Random,34.42
134,198.292,35.106,134.67,5757.5,5.0,54.0,8.29,44.0498,34.6879,39.3051,46.9333,27.0879,26.9015,31.7773,35.106,False,Other/Random,34.69
135,204.981,48.135,138.96,5771.7,3.6,270.0,18.54,50.5915,29.895,55.7181,46.0557,16.2497,16.9358,29.6868,47.542,False,Other/Random,29.89
136,47.154,50.547,313.3,5800.25,3.5,216.0,16.58,50.5489,37.4686,58.5192,34.5896,14.7846,4.5246,36.3467,50.547,True,Other/Random,34.59
137,35.308,46.834,320.71,5824.35,9.043,621.0,28.12,46.9935,28.9503,60.8749,40.0865,18.1503,10.8858,28.1188,46.834,True,Other/Random,28.95
138,174.604,45.294,213.97,5866.38,5.676,333.0,20.59,53.1496,30.4001,48.0327,46.7764,27.0295,31.4325,30.3881,44.9619,False,Other/Random,30.4
139,35.434,50.484,315.67,5886.97,6.088,306.0,19.74,51.2112,33.1793,57.842,40.6339,12.6841,8.7017,32.7943,50.484,True,Other/Random,33.18
140,319.578,50.156,36.47,5912.76,11.79,900.0,33.85,50.3014,31.131,54.7608,40.846,21.5321,5.8415,30.7797,50.156,True,Other/Random,31.13
141,165.113,44.295,220.41,5971.18,14.131,2673.0,58.34,50.7995,31.5362,48.19,48.7137,22.3706,24.9756,31.2322,44.295,False,Other/Random,31.54
142,28.085,50.473,323.03,6026.63,2.625,72.0,9.57,51.1986,27.7818,59.7606,45.8778,17.4757,14.0727,27.7402,47.1172,True,Other/Random,27.78
143,331.286,45.049,47.59,6049.41,2.719,288.0,19.15,48.6532,33.6747,51.7323,42.3724,15.2154,15.7287,32.6364,45.049,False,Other/Random,33.67
144,220.939,54.912,131.54,6082.73,15.455,1188.0,38.89,55.385,38.7146,53.0479,39.1645,9.3706,3.3238,38.4757,51.8205,True,Other/Random,38.71
145,219.927,54.872,124.91,6119.65,14.49,1377.0,41.87,56.7713,42.5332,48.2671,38.9398,2.8954,4.1474,42.1224,51.1567,True,Other/Random,38.94
146,43.97,52.341,312.95,6147.0,0.0,27.0,5.86,52.4252,37.4224,56.2789,36.6559,12.5713,2.5338,36.7883,52.341,True,Other/Random,36.66
147,322.907,35.943,46.87,6212.95,40.857,13180.0,129.52,37.2066,31.1077,49.9134,34.6674,19.8662,19.5869,25.6213,35.943,False,Other/Random,31.11
148,166.858,41.699,221.32,6330.62,11.547,2025.0,50.78,49.9731,33.1215,44.8237,50.4855,24.908,26.8229,32.4936,41.699,False,Other/Random,33.12
149,319.56,32.497,62.99,6395.65,24.53,1629.0,45.54,39.3804,41.1542,39.3248,34.9275,21.9484,22.4479,33.5859,32.497,False,Other/Random,34.93
150,191.514,28.122,141.97,6404.21,3.158,171.0,14.76,38.4672,33.8325,33.5501,48.6374,27.4077,33.8838,28.3224,28.122,False,Other/Random,33.55
151,176.146,43.201,215.14,6417.86,4.071,126.0,12.67,52.897,32.5279,45.2261,48.2382,28.8981,32.673,32.4244,43.201,False,Other/Random,32.53
152,168.47,46.387,220.63,6429.0,0.0,27.0,5.86,54.3287,33.5896,48.8936,45.6619,22.6803,26.9535,33.5509,44.8135,False,Other/Random,33.59
153,342.159,21.54,49.47,6441.44,16.452,1395.0,42.14,38.1116,42.2563,25.3109,48.1863,22.2313,36.5099,33.3635,21.54,False,Other/Random,25.31
154,46.171,50.786,318.54,6457.5,0.0,18.0,4.79,50.9896,35.525,56.1829,37.2849,19.3974,4.058,34.8197,50.786,True,Other/Random,35.52
155,154.029,31.106,223.72,6486.0,7.5,846.0,32.82,35.7047,31.0108,41.1315,40.5561,26.4718,26.734,24.6486,31.106,False,Other/Random,31.01
156,33.159,53.207,318.38,6518.57,4.286,189.0,15.51,53.8271,32.5313,58.0764,43.7877,13.4728,9.6908,32.4979,47.9022,True,Other/Random,32.53
157,143.987,48.448,225.86,6534.5,1.0,54.0,8.29,49.3794,33.314,58.0889,39.1162,12.583,9.431,32.5207,48.448,True,Other/Random,33.31
158,350.042,7.494,42.77,6572.02,31.918,4968.0,79.53,33.634,49.8728,14.3002,52.8611,13.4159,48.7302,32.9179,7.494,True,rotated_cube,14.3
159,308.575,22.4,75.89,6629.64,42.013,4221.0,73.31,33.055,46.5291,30.2993,35.5286,30.1751,32.5443,31.46,22.4,False,Other/Random,30.3
160,149.576,46.228,225.79,6683.06,6.798,1116.0,37.7,48.5817,32.3994,54.4686,41.6091,14.3693,14.0651,31.5286,46.228,True,Other/Random,32.4
161,350.634,41.093,39.26,6759.45,7.773,1386.0,42.01,50.4329,33.2348,43.6686,50.5072,27.2259,29.3903,32.693,41.093,False,Other/Random,33.23
162,195.066,31.792,146.03,6809.09,9.305,531.0,26.0,36.8627,27.2539,40.9159,46.1528,30.4905,30.2875,22.4412,31.792,False,Other/Random,27.25
163,30.775,32.125,311.95,6833.83,5.229,315.0,20.03,36.3672,32.7052,42.1944,38.1935,23.9832,24.5187,26.282,32.125,False,Other/Random,32.71
164,348.177,35.021,41.64,6857.92,10.824,666.0,29.12,45.6897,34.7978,38.0758,50.8356,30.0376,30.1172,32.545,35.021,False,Other/Random,34.8
165,351.588,40.135,40.45,6885.49,4.161,279.0,18.85,50.9384,35.0272,42.0939,51.0433,28.4394,30.232,34.3763,40.135,False,Other/Random,35.03
166,312.748,26.257,68.54,6944.48,37.341,5760.0,85.64,33.6843,42.9911,35.239,33.3768,25.8247,28.5121,30.5428,26.257,False,Other/Random,33.38
167,306.963,20.473,76.96,6977.49,9.329,738.0,30.65,31.39,46.6784,29.3025,35.9958,29.2884,34.547,30.126,20.473,False,Other/Random,29.3
